,1,2,3,4,5,6,7,8,9,10,11,12,13
北京市,22.18,23.36,23.22,23.8,22.32,17.86,14.9,14.58,16.6,19.62,19.8,20.81,19.87
天津市,22.5,23.62,23.58,24.01,22.93,18.11,14.83,15.12,17.89,20.12,19.8,20.81,20.27
石家庄市,22.64,22.97,22.32,23.18,19.94,17.82,13.68,13.25,14.76,19.62,20.34,20.88,19.26
唐山市,22.5,23.83,23.98,24.26,21.96,17.71,14.62,15.19,19.01,20.23,19.55,20.34,20.23
秦皇岛市,20.3,21.38,21.74,21.2,20.34,18.11,14.9,16.09,18.22,17.24,16.27,18.07,18.65
邯郸市,20.59,20.48,19.44,21.64,18.86,15.84,12.74,13.32,13.72,16.6,18.29,18.79,17.5
邢台市,21.56,21.42,20.81,22.61,19.4,16.56,13.39,13.32,14.4,18.29,19.19,19.51,18.36
保定市,21.53,22.54,22.5,23.33,20.95,18.07,14.69,14.4,15.48,19.33,19.58,19.98,19.33
张家口市,22.79,24.16,24.84,25.96,23.8,21.89,18.54,18.04,20.45,21.78,21.35,20.74,22
承德市,24.01,24.52,24.84,25.13,23.94,20.12,15.59,16.49,19.55,21.13,20.77,21.38,21.42
沧州市,21.1,22.18,22.61,23.33,21.17,17.46,15.34,15.01,16.02,18.94,19.04,19.55,19.3
廊坊市,22.18,23.36,23.22,23.8,22.32,17.86,14.9,14.58,16.6,19.62,19.8,20.81,19.87
衡水市,20.63,21.1,21.38,22.93,19.73,17.28,14.4,14.83,15.37,18.4,18.11,18.4,18.54
太原市,23.11,22.86,21.56,23.62,21.42,19.08,15.7,14.9,16.09,19.66,20.95,21.38,20.02
大同市,22,23.65,24.55,26.46,24.52,22.57,18.97,18.76,20.95,21.89,20.92,19.91,22.07
阳泉市,22.25,22.43,21.49,23.76,20.92,18.04,15.26,14.65,15.66,19.55,20.3,20.81,19.58
长治市,21.38,21.02,19.84,22.32,20.27,16.99,14.47,14.04,14.33,17.32,19.73,20.05,18.47
晋城市,19.44,18.76,17.71,18.9,18.47,16.27,14.11,13.14,12.6,15.12,17.89,18.25,16.7
朔州市,22.5,23.47,23.69,25.88,22.72,21.56,17.75,17.96,18.76,21.28,21.96,20.95,21.53
晋中市,23.11,22.86,21.56,23.62,21.42,19.08,15.7,14.9,16.09,19.66,20.95,21.38,20.02
运城市,19.04,18.36,17.06,18.36,18.07,16.13,14.62,13.61,12.06,14.15,16.88,17.89,16.34
